Code,Measured_SSC_g_L,Modelled_SSC_g_L,Residual_g_L,Canal_Type,Tide_State,Sampling_Day
6_C_2_Day_1_HT,0.095,0.095,0.0,CPC,HT,Day_1
6_C_2_Day_1_LT,0.125,0.125,0.0,CPC,LT,Day_1
6_D_2_Day_1_HT,0.0914,0.0994761319194143,-0.008076131919414309,CPC,HT,Day_1
6_D_2_Day_1_LT,0.1208,0.129301340923586,-0.008501340923585995,CPC,LT,Day_1
6_F_across_2_Day_1_HT,0.0524,0.1014192620246415,-0.04901926202464149,CPC,HT,Day_1
6_F_across_2_Day_1_LT,0.0493,0.1312381167545609,-0.0819381167545609,CPC,LT,Day_1
6_F_2_Day_1_HT,0.0361,0.1023217878281768,-0.06622178782817681,CPC,HT,Day_1
6_F_2_Day_1_LT,0.0914,0.1406256116086613,-0.049225611608661304,CPC,LT,Day_1
6_E_2_Day_1_HT,0.0361,0.1147759432769943,-0.07867594327699429,CPC,HT,Day_1
6_E_2_Day_1_LT,0.0914,0.167533601976081,-0.076133601976081,CPC,LT,Day_1
6_G_2_Day_1_HT,0.0496,0.1214062698482144,-0.0718062698482144,CPC,HT,Day_1
6_G_2_Day_1_LT,0.0777,0.1699094960511634,-0.0922094960511634,CPC,LT,Day_1
6_H_2_Day_1_HT,0.0777,0.1123850978041393,-0.034685097804139295,CPC,HT,Day_1
6_H_2_Day_1_LT,0.0516,0.1391284255743498,-0.08752842557434978,CPC,LT,Day_1
6_D_2_Day_2_HT,0.1098,0.1130459981992196,-0.003245998199219599,CPC,HT,Day_2
6_D_2_Day_2_LT,0.0359,0.0381222189331808,-0.0022222189331808015,CPC,LT,Day_2
6_F_across_2_Day_2_HT,0.0496,0.1143250661462003,-0.0647250661462003,CPC,HT,Day_2
6_F_across_2_Day_2_LT,0.0361,0.0391417230378622,-0.0030417230378622026,CPC,LT,Day_2
6_F_2_Day_2_HT,0.0824,0.1183606966972407,-0.035960696697240696,CPC,HT,Day_2
6_F_2_Day_2_LT,0.0781,0.0473021345907359,0.030797865409264102,CPC,LT,Day_2
6_E_2_Day_2_HT,0.0579,0.1382184409767302,-0.08031844097673019,CPC,HT,Day_2
6_E_2_Day_2_LT,0.0635,0.0621384941944922,0.0013615058055077983,CPC,LT,Day_2
6_G_2_Day_2_HT,0.0439,0.1346266485585693,-0.0907266485585693,CPC,HT,Day_2
6_G_2_Day_2_LT,0.0888,0.0987581635879893,-0.009958163587989302,CPC,LT,Day_2
6_H_2_Day_2_HT,0.0656,0.1210296230253761,-0.0554296230253761,CPC,HT,Day_2
6_H_2_Day_2_LT,0.0496,0.0481097115464095,0.0014902884535904978,CPC,LT,Day_2
6_D_2_Day_3_HT,0.1359,0.1383488240009361,-0.0024488240009361006,CPC,HT,Day_3
6_D_2_Day_3_LT,0.0493,0.0501779420215143,-0.0008779420215143038,CPC,LT,Day_3
6_F_across_2_Day_3_LT,0.0888,0.0533165706252861,0.0354834293747139,CPC,LT,Day_3
6_F_2_Day_3_HT,0.0072,0.1388458183629667,-0.13164581836296668,CPC,HT,Day_3
6_F_2_Day_3_LT,0.0524,0.0543949633493815,-0.0019949633493814983,CPC,LT,Day_3
6_E_2_Day_3_HT,0.0598,0.1630336653167876,-0.1032336653167876,CPC,HT,Day_3
6_E_2_Day_3_LT,0.0524,0.0661184916597222,-0.013718491659722193,CPC,LT,Day_3
6_G_2_Day_3_HT,0.0493,0.1586220117743277,-0.1093220117743277,CPC,HT,Day_3
6_H_2_Day_3_HT,0.1066,0.1641215941440709,-0.0575215941440709,CPC,HT,Day_3
6_H_2_Day_3_LT,0.0524,0.0613297859037784,-0.008929785903778395,CPC,LT,Day_3
8_C_2_Day_1_HT,0.038,0.038,0.0,CPC,HT,Day_1
8_C_2_Day_1_LT,0.063,0.063,0.0,CPC,LT,Day_1
8_G_2_Day_1_HT,0.0717,0.0810294724598724,-0.009329472459872395,CPC,HT,Day_1
8_G_2_Day_1_LT,0.0986,0.1147372336744016,-0.016137233674401605,CPC,LT,Day_1
8_D_2_Day_1_HT,0.0361,0.0395698801629011,-0.003469880162901097,CPC,HT,Day_1
8_D_2_Day_1_LT,0.0614,0.0660897532796323,-0.004689753279632301,CPC,LT,Day_1
8_E_2_Day_1_HT,0.0915,0.0592033744629371,0.0322966255370629,CPC,HT,Day_1
8_E_2_Day_1_LT,0.0753,0.0963672712854952,-0.021067271285495195,CPC,LT,Day_1
8_H_2_Day_1_HT,0.0382,0.0417574442912484,-0.0035574442912484003,CPC,HT,Day_1
8_H_2_Day_1_LT,0.0679,0.0758045855076828,-0.007904585507682804,CPC,LT,Day_1
8_F_across_2_Day_1_HT,0.0915,0.0465254735450091,0.0449745264549909,CPC,HT,Day_1
8_F_across_2_Day_1_LT,0.0653,0.07044811166865,-0.005148111668650007,CPC,LT,Day_1
8_F_2_Day_1_HT,0.1208,0.0552426307702488,0.0655573692297512,CPC,HT,Day_1
8_F_2_Day_1_LT,0.0485,0.0706706311897958,-0.0221706311897958,CPC,LT,Day_1
8_G_2_Day_2_HT,0.0888,0.1028699994337294,-0.0140699994337294,CPC,HT,Day_2
8_G_2_Day_2_LT,0.0475,0.0560038576946086,-0.008503857694608596,CPC,LT,Day_2
8_D_2_Day_2_HT,0.0382,0.0398911474014331,-0.001691147401433099,CPC,HT,Day_2
8_D_2_Day_2_LT,0.0635,0.0672614872474829,-0.003761487247482903,CPC,LT,Day_2
8_E_2_Day_2_HT,0.0436,0.0501015125940715,-0.006501512594071501,CPC,HT,Day_2
8_E_2_Day_2_LT,0.0947,0.1006407182940842,-0.005940718294084199,CPC,LT,Day_2
8_H_2_Day_2_HT,0.0864,0.0971715511565341,-0.010771551156534095,CPC,HT,Day_2
8_H_2_Day_2_LT,0.0557,0.0662524210280721,-0.010552421028072106,CPC,LT,Day_2
8_F_across_2_Day_2_HT,0.0361,0.0419942039546954,-0.0058942039546954,CPC,HT,Day_2
8_F_across_2_Day_2_LT,0.0256,0.0693339534095257,-0.0437339534095257,CPC,LT,Day_2
8_F_2_Day_2_HT,0.0915,0.047835246779342,0.043664753220658,CPC,HT,Day_2
8_F_2_Day_2_LT,0.0746,0.0764618156139711,-0.001861815613971099,CPC,LT,Day_2
8_G_2_Day_3_HT,0.0105,0.0123593004211008,-0.0018593004211007996,CPC,HT,Day_3
8_G_2_Day_3_LT,0.0876,0.1029286748789963,-0.015328674878996307,CPC,LT,Day_3
8_D_2_Day_3_HT,0.0722,0.0747059683592121,-0.002505968359212102,CPC,HT,Day_3
8_D_2_Day_3_LT,0.0563,0.06026278165469,-0.003962781654689995,CPC,LT,Day_3
8_E_2_Day_3_HT,0.0915,0.0943394626592481,-0.0028394626592481015,CPC,HT,Day_3
8_E_2_Day_3_LT,0.0604,0.0809694351863791,-0.020569435186379097,CPC,LT,Day_3
8_H_2_Day_3_HT,0.0427,0.0481189895894878,-0.005418989589487798,CPC,HT,Day_3
8_H_2_Day_3_LT,0.0072,0.0080915125553485,-0.0008915125553485004,CPC,LT,Day_3
8_F_across_2_Day_3_HT,0.0524,0.0782658079333131,-0.025865807933313098,CPC,HT,Day_3
8_F_across_2_Day_3_LT,0.0476,0.0641164034740707,-0.0165164034740707,CPC,LT,Day_3
8_F_2_Day_3_HT,0.0502,0.0809521263952996,-0.030752126395299596,CPC,HT,Day_3
8_F_2_Day_3_LT,0.0436,0.0642250033853311,-0.020625003385331103,CPC,LT,Day_3
14_I_2_Day_1_HT,0.1,0.1,0.0,LC,HT,Day_1
14_I_2_Day_1_LT,0.04,0.04,0.0,LC,LT,Day_1
14_J_2_Day_1_HT,0.0915,0.1026637994147861,-0.011163799414786096,LC,HT,Day_1
14_J_2_Day_1_LT,0.0361,0.0420890367895418,-0.005989036789541803,LC,LT,Day_1
14_K_2_Day_1_HT,0.0224,0.111669851162575,-0.08926985116257499,LC,HT,Day_1
14_K_2_Day_1_LT,0.0493,0.0651746627916694,-0.01587466279166941,LC,LT,Day_1
14_J_2_Day_2_HT,0.0598,0.0621540176587261,-0.0023540176587261014,LC,HT,Day_2
14_J_2_Day_2_LT,0.0321,0.0334160280645382,-0.001316028064538205,LC,LT,Day_2
14_K_2_Day_2_HT,0.1007,0.0748042331687428,0.025895766831257203,LC,HT,Day_2
14_K_2_Day_2_LT,0.096,0.0494549087627789,0.0465450912372211,LC,LT,Day_2
14_J_2_Day_3_HT,0.0104,0.0107384526909836,-0.0003384526909835997,LC,HT,Day_3
14_J_2_Day_3_LT,0.0104,0.0109077042928229,-0.0005077042928229008,LC,LT,Day_3
14_K_2_Day_3_HT,0.0496,0.033783108455367,0.015816891544632998,LC,HT,Day_3
14_K_2_Day_3_LT,0.0021,0.0120547952850852,-0.009954795285085201,LC,LT,Day_3
15_I_2_Day_1_HT,0.06,0.06,0.0,LC,HT,Day_1
15_I_2_Day_1_LT,0.045,0.045,0.0,LC,LT,Day_1
15_J_2_Day_1_HT,0.0574,0.0624261740589224,-0.005026174058922403,LC,HT,Day_1
15_J_2_Day_1_LT,0.043,0.0468474470137824,-0.0038474470137824027,LC,LT,Day_1
15_K_2_Day_1_HT,0.0383,0.0672252849827788,-0.0289252849827788,LC,HT,Day_1
15_K_2_Day_1_LT,0.0557,0.0578733123996339,-0.002173312399633899,LC,LT,Day_1
15_J_2_Day_2_HT,0.0493,0.051000629429033,-0.0017006294290330057,LC,HT,Day_2
15_J_2_Day_2_LT,0.0478,0.0507866284748,-0.002986628474799996,LC,LT,Day_2
15_K_2_Day_2_HT,0.0383,0.055144807962484,-0.016844807962484,LC,HT,Day_2
15_K_2_Day_2_LT,0.0256,0.0558537384349931,-0.030253738434993096,LC,LT,Day_2
15_J_2_Day_3_HT,0.0062,0.0065386009466323,-0.0003386009466323,LC,HT,Day_3
15_J_2_Day_3_LT,0.0888,0.0924980761242199,-0.003698076124219893,LC,LT,Day_3
15_K_2_Day_3_HT,0.0392,0.012125379566152,0.027074620433848,LC,HT,Day_3
15_K_2_Day_3_LT,0.034,0.0972612681656032,-0.0632612681656032,LC,LT,Day_3
