Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Settling_Velocity_w_m_s,Modelled_s0,Peclet_Number,Residual,Abs_Error,Squared_Error
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.15,0.15,0.125,0.095,0.0005,0.095,0.0,0.0,0.0,0.0
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.15,0.15,0.16,0.125,0.0005,0.125,0.0,0.0,0.0,0.0
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.15,0.15,0.1188,0.0914,0.0005,37.15371180318898,1.00608,-37.06231180318898,37.06231180318898,1373.6149561968014
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.15,0.15,0.157,0.1208,0.0005,37.16854710102007,0.9327200000000001,-37.047747101020065,37.047747101020065,1372.5355652611406
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.15,0.15,0.0681,0.0524,0.0005,409.4523901021516,5.314133333333334,-409.3999901021516,409.3999901021516,167608.35189564183
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.15,0.15,0.0641,0.0493,0.0005,409.46720818703596,5.347346666666667,-409.41790818703595,409.41790818703595,167623.0235442482
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.15,0.15,0.0469,0.0361,0.0005,439.78799144242487,4.593820000000001,-439.7518914424249,439.7518914424249,193381.72602719025
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.15,0.15,0.1188,0.0914,0.0005,439.77856724434184,3.2813,-439.6871672443418,439.6871672443418,193324.8050393538
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.15,0.15,0.0469,0.0361,0.0005,462.4758566815188,3.3015,-462.4397566815188,462.4397566815188,213850.5285596623
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.15,0.15,0.1188,0.0914,0.0005,462.44511449662605,3.1595,-462.353714496626,462.353714496626,213770.95730882758
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.15,0.15,0.0645,0.0496,0.0005,880.9064381644446,3.832253333333333,-880.8568381644445,880.8568381644445,775908.7693410624
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.15,0.15,0.101,0.0777,0.0005,880.8759073636979,3.868406666666666,-880.7982073636979,880.7982073636979,775805.4820951037
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.15,0.15,0.101,0.0777,0.0005,1520.617295739875,6.42656,-1520.539595739875,1520.539595739875,2312040.6622127825
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0671,0.0516,0.0005,1520.639710209175,6.08228,-1520.588110209175,1520.588110209175,2312188.2009095103
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.15,0.15,0.1427,0.1098,0.0005,37.161991154689794,1.1004,-37.052191154689794,37.052191154689794,1372.8648693636726
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.15,0.15,0.0467,0.0359,0.0005,37.100139442600344,0.97464,-37.064239442600346,37.064239442600346,1373.7578454584113
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.15,0.15,0.0645,0.0496,0.0005,409.4597488101828,5.613053333333332,-409.4101488101828,409.4101488101828,167616.66994877605
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.15,0.15,0.0469,0.0361,0.0005,409.4013607451392,7.041226666666667,-409.3652607451392,409.3652607451392,167579.9167049358
